Carrier,Score,Latency (ms),Download (Bps),Upload (Bps),Browser Speed (ms),Date,Latitude,Longitude,Timestamp
t-mobile,101,1201.6,122111.6799619,45370.0465116279,1504,2013-02-05 13:28:57,37.51877816,-77.20449078,808
vodafone,112,654.3,434375.986023612,72173.1345492213,1690.5,2013-02-05 13:12:36,-26.17135,28.22019,792
sprint,130,389.3,465897.904718642,101146.412277063,1536.5,2013-02-05 13:09:11,29.631189,-95.20195,789
t-mobile,164,339,123380.520593675,79697.3732587116,711.5,2013-02-05 12:52:10,34.8346555,-81.0162393,772
virgin-mobile-uk,286,205.5,2211570.88948787,822128.950695322,906.5,2013-02-05 12:51:49,53.3492618982,-1.4860004286,771
wataniya-telecom,285,731.5,383982.029202546,577876.777251185,263.5,2013-02-05 12:50:27,29.3254882312,48.0230747786,770
virgin-mobile-uk,415,201.7,392111.254480287,1311978.4801614,217,2013-02-05 12:38:44,52.4047421152,0.2516140044,758
digi,168,422.1,977009.764229579,253003.760861107,1145,2013-02-05 12:38:35,3.1505769,101.7347722,758
entel-chile,181,264.6,1581215.64848718,239905.558288244,1475,2013-02-05 12:21:28,-33.440369,-70.646988,741
sprint,176,264.2,781272.900399924,363230.683299199,1497.5,2013-02-05 12:03:39,29.631189,-95.20195,723
vodafone-qatar,221,438.1,1561950.88520845,326731.200803885,617.5,2013-02-05 12:03:07,25.3235108921,51.5281258227,723
virgin-mobile-uk,391,140.3,4739993.06759099,895324.460761817,608,2013-02-05 11:10:15,52.6231897,-1.1394616,670
telus,613,185.8,4852115.9077469,2209413.36353341,191,2013-02-05 10:38:17,49.263389356,-123.0105994208,638
telus,602,188.1,4653958.02609189,2141506.03732162,190,2013-02-05 10:35:39,49.2634916576,-123.0103827458,635
vodafone-india,120,981.9,114709.316631249,48810.6282368836,1041,2013-02-05 09:43:32,9.36168798,76.58483978,583
idea,154,1003.7,113276.103433518,58019.687732342,601,2013-02-05 09:06:25,20.4234291,72.8448234,546
celcom-malaysia,223,434.7,1123808.79331598,495406.805485018,673.5,2013-02-05 08:41:24,2.8672568,101.6355913,521
globe-telecom,197,359,1114043.17718941,270097.189533435,772.5,2013-02-05 08:16:53,14.6570572,120.9886244,496
wataniya-telecom,313,400.6,1346836.50689429,273735.37252701,203.5,2013-02-05 07:42:27,29.2804334031,47.8712320376,462
u-mobile,192,413.4,1951231.39120095,282250,1092.5,2013-02-05 07:16:31,3.0947948,101.6068377,436
celcom-malaysia,158,1099.6,491254.221051371,203114.211348256,779,2013-02-05 07:12:56,4.2639612,103.4621081,432
vodafone-australia,329,378.1,539230.283911672,610232.0925868,207.5,2013-02-05 07:04:30,-32.0065072691,115.9112867342,424
telkomsel,157,494.3,989857.401375317,261516.353887399,1356,2013-02-05 06:37:55,-6.1518663,106.8353686,397
iusacell,109,1410.1,111057.498646454,73337.0423276445,1275,2013-02-05 06:20:09,32.528464,-117.112752,380
verizon,420,105.1,6010936.26373626,595153.142159854,525.5,2013-02-05 06:12:27,40.0446831,-86.015113,372
verizon,560,73.8,6041920.4712813,1592581.2244898,539.5,2013-02-05 05:58:16,40.8482499,-74.2052832,358
sasktel,347,92.1,4235894.68249871,631976.67638484,1375.5,2013-02-05 05:58:15,52.1405286789,-106.5794467926,358
iusacell,134,1610.2,119005.13445305,117108.589951378,861.5,2013-02-05 05:54:22,32.528464,-117.112752,354
iusacell,134,1433,118366.484895698,116912.087253551,869.5,2013-02-05 05:49:00,32.528464,-117.112752,349
iusacell,131,1328,105446.890542468,96104.039408867,896.5,2013-02-05 05:45:48,32.528464,-117.112752,345
wind,163,268.1,1759958.81595882,187281.558990112,2140.5,2013-02-05 05:31:07,43.87315,-78.87343,331
vodafone,103,919.4,342014.506044185,88472.7223255181,1928,2013-02-05 05:24:50,29.3904036147,76.953489676,324
lmt,266,242.6,1257267.5452038,666978.461538462,625.5,2013-02-05 05:14:07,56.9777611,23.8599347,314
iusacell,116,1567.2,107042.673937718,106045.11605153,1181.5,2013-02-05 05:11:51,32.5245977,-117.0934581,311
vodafone,67,3416.3,203439.736183085,24285.9170183366,3311,2013-02-05 05:09:08,29.3897967135,76.9541956362,309
globe-telecom,360,487.3,2729516.96606786,488216.216216216,200.5,2013-02-05 04:34:31,14.5588575251,121.0236227212,274
telkomsel,152,779,387683.235683236,262819.884143877,1011.5,2013-02-05 04:32:06,-2.2171437,113.9121334,272
sasktel,291,116.6,2641638.11976819,627706.563706564,1392,2013-02-05 04:30:05,52.138168335,-106.5793991089,270
telkomsel,163,510.7,545322.87651203,273007.556675063,1017,2013-02-05 04:29:16,-2.2171437,113.9121334,269
sasktel,237,231.5,2170615.87301587,612146.846564167,1373,2013-02-05 04:28:33,52.138168335,-106.5793991089,268
hot-mobile,308,980,1367260.12331278,596244.498777506,249,2013-02-05 04:25:01,32.2862852974,34.858189406,265
iusacell,115,1694.1,103984.893226031,110608.459008958,1193.5,2013-02-05 04:22:57,32.5245977,-117.0934581,262
movistar-colombia,229,289.2,2174066.77265501,578905.637982196,1295,2013-02-05 04:21:42,5.4466393616,-74.666300258,261
iusacell,109,1206.3,119394.770157594,115541.131181522,1472,2013-02-05 04:19:02,32.5245977,-117.0934581,259
telus,228,265,1511314.79093756,80215.1227334402,480,2013-02-05 04:06:06,54.2712316476,-110.721151773,246
verizon,176,162.3,827860.760770861,148426.049908704,1656,2013-02-05 03:58:54,37.3894827,-77.4476196,238
globe-telecom,301,645.1,1401593.44038264,239994.095214664,204.5,2013-02-05 03:56:58,14.4779754625,121.0014445325,236
telus,433,262.2,4503253.56750823,2015404.95867769,1041,2013-02-05 03:53:30,42.8494151079,-80.3040517717,233
att,310,164.8,545033.080908729,863235.398230089,482.5,2013-02-05 03:46:35,37.6459166,-92.6743996,226
verizon,172,206.8,552037.139204737,255656.139431267,1474,2013-02-05 03:45:55,33.3921172,-84.7599209,225
airtel-india,173,428.8,1116772.56022866,346029.088329195,1296.5,2013-02-05 03:44:05,12.9569354005,80.1452328038,224
sprint,299,633.5,121799.893117986,399613.273248669,192,2013-02-05 03:23:18,40.74316803,-73.8767422995,203
sprint,106,1424,129156.547609678,100376.209096522,1505,2013-02-05 03:19:23,35.9151178,-79.0607218,199
t-mobile,238,172.1,1178022.68485284,872891.275167785,2310.5,2013-02-05 03:15:49,36.5621751,-87.350903,195
t-mobile,401,99.4,3532039.6039604,1021419.89528796,690.5,2013-02-05 02:20:33,35.84769,-86.4351351,140
dtac,184,572.8,206480.811334524,99091.4262494921,473,2013-02-05 02:14:10,15.72176,103.56524,134
iusacell,119,1304.3,67688.489968321,46741.8659255355,999,2013-02-05 02:06:21,32.5078871,-116.9646238,126
t-mobile,182,240.8,1635425.15447479,301206.11394164,1863,2013-02-05 01:51:27,21.3563337,-157.9245946,111
